record_id,study_id,outcome_id,outcome_label,unit,timepoint,effect,ci_low,ci_high,effect_type,source,se_from_ci95
R00002,Foulkes_2023_BREXIT,VO2peak_mLkgmin_net,VO2peak (mL·kg−1·min−1) diferencia neta de cambio,mL·kg−1·min−1,Δ 4 months,1.4,0.5,2.3,net_change,"Foulkes 2023, Tabla 2, p.539 (página PDF 8), fila VO2peak Δ4 mo, columna 'Net difference (95% CI)'",0.4591836734693877
R00002,Foulkes_2023_BREXIT,VO2peak_mLkgmin_net,VO2peak (mL·kg−1·min−1) diferencia neta de cambio,mL·kg−1·min−1,Δ 12 months,3.5,2.1,4.9,net_change,"Foulkes 2023, Tabla 2, p.539 (página PDF 8), fila VO2peak Δ12 mo, columna 'Net difference (95% CI)'",0.7142857142857144
R00002,Foulkes_2023_BREXIT,LVEF_net,FEVI (%) diferencia neta de cambio,puntos porcentuales,Δ 4 months,-0.8,-2.8,1.1,net_change,"Foulkes 2023, Tabla 3, p.541 (página PDF 10), fila LVEF Δ4 mo, columna 'Net difference (95% CI)'",0.9948979591836735
R00002,Foulkes_2023_BREXIT,LVEF_net,FEVI (%) diferencia neta de cambio,puntos porcentuales,Δ 12 months,-0.9,-3.0,1.1,net_change,"Foulkes 2023, Tabla 3, p.541 (página PDF 10), fila LVEF Δ12 mo, columna 'Net difference (95% CI)'",1.0459183673469388
R00002,Foulkes_2023_BREXIT,GLS_raw_net,GLS (%) diferencia neta de cambio (signo original; más negativo=mejor),puntos GLS,Δ 4 months,0.4,-0.5,1.3,net_change,"Foulkes 2023, Tabla 3, p.541 (página PDF 10), fila LV GLS Δ4 mo, columna 'Net difference (95% CI)'",0.45918367346938777
R00002,Foulkes_2023_BREXIT,GLS_raw_net,GLS (%) diferencia neta de cambio (signo original; más negativo=mejor),puntos GLS,Δ 12 months,0.4,-0.6,1.3,net_change,"Foulkes 2023, Tabla 3, p.541 (página PDF 10), fila LV GLS Δ12 mo, columna 'Net difference (95% CI)'",0.4846938775510204
R00002,Foulkes_2023_BREXIT,cTnI_net,Troponina I cardiaca (ng/L) diferencia neta de cambio,ng/L,Δ 4 months,20.8,0.1,41.5,net_change,"Foulkes 2023, Tabla 3, p.541 (página PDF 10), fila Cardiac troponin-I Δ4 mo, columna 'Net difference (95% CI)'",10.561224489795919
R00006,Antunes_2023_EurJPC_SETp,LVEF_adj_net,FEVI (%) diferencia ajustada entre grupos desde basal,puntos porcentuales,End of AC (Δ difference),0.7,-0.8,2.3,net_change,"Antunes 2023, Tabla 2, p.850 (página PDF 7), fila LVEF End of AC, columna 'Adjusted between-group difference from baseline Mean (95% CI)'",0.7908163265306122
R00006,Antunes_2023_EurJPC_SETp,LVEF_adj_net,FEVI (%) diferencia ajustada entre grupos desde basal,puntos porcentuales,3 months after AC (Δ difference),1.1,-0.5,2.6,net_change,"Antunes 2023, Tabla 2, p.850 (página PDF 7), fila LVEF Three months after AC, columna 'Adjusted between-group difference from baseline Mean (95% CI)'",0.7908163265306123
R00006,Antunes_2023_EurJPC_SETp,GLS_adj_raw_net,GLS (%) diferencia ajustada entre grupos desde basal (signo original; más negativo=mejor),puntos GLS,End of AC (Δ difference),-0.3,-1.4,0.7,net_change,"Antunes 2023, Tabla 2, p.850 (página PDF 7), fila GLS End of AC, columna 'Adjusted between-group difference from baseline Mean (95% CI)'",0.5357142857142856
R00006,Antunes_2023_EurJPC_SETp,GLS_adj_raw_net,GLS (%) diferencia ajustada entre grupos desde basal (signo original; más negativo=mejor),puntos GLS,3 months after AC (Δ difference),-1.0,-2.1,0.1,net_change,"Antunes 2023, Tabla 2, p.850 (página PDF 7), fila GLS Three months after AC, columna 'Adjusted between-group difference from baseline Mean (95% CI)'",0.5612244897959184
